[2026-09-21T19:50:38.142Z] GET file:///C:/www/sysmicon/prototipo-web/index.html → 200 (4ms, 26004B)
[2026-09-21T19:50:38.150Z] GET https://fonts.googleapis.com/css2?family=Instrument+Sans:wght@400;500;600&family=Instrument+Serif:ital@0;1&family=IBM+Plex+Mono:wght@400;500&family=Figtree:wght@400;500;600&display=swap → 200 (305ms, 1410B)
[2026-09-21T19:50:38.151Z] GET https://cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js → 200 (158ms, 121668B)
[2026-09-21T19:50:38.151Z] GET file:///C:/www/sysmicon/prototipo-web/legado-data.js → 200 (5ms, 994492B)
[2026-09-21T19:50:38.151Z] GET file:///C:/www/sysmicon/prototipo-web/escena.js → 200 (5ms, 21736B)
[2026-09-21T19:50:38.503Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q1w.woff2 → pending (?ms, ?B)
[2026-09-21T19:50:38.503Z] GET https://fonts.gstatic.com/s/figtree/v9/_Xms-HUzqDCFdgfMm4S9DQ.woff2 → pending (?ms, ?B)
[2026-09-21T19:50:38.503Z] GET https://fonts.gstatic.com/s/instrumentsans/v4/pxiTypc9vsFDm051Uf6KVwgkfoSxQ0GsQv8ToedPibnr0SZe1Q.woff2 → pending (?ms, ?B)
[2026-09-21T19:50:38.504Z] GET https://fonts.gstatic.com/s/instrumentserif/v5/jizHRFtNs2ka5fXjeivQ4LroWlx-6zAjjH7M.woff2 → pending (?ms, ?B)
[2026-09-21T19:50:38.504Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgg.woff2 → pending (?ms, ?B)
[2026-09-21T19:52:22.228Z] GET file:///C:/www/sysmicon/prototipo-web/index.html?v=2 → 200 (1ms, 26004B)
[2026-09-21T19:52:22.242Z] GET https://fonts.googleapis.com/css2?family=Instrument+Sans:wght@400;500;600&family=Instrument+Serif:ital@0;1&family=IBM+Plex+Mono:wght@400;500&family=Figtree:wght@400;500;600&display=swap → 200 (2ms, -698B)
[2026-09-21T19:52:22.242Z] GET https://cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js → 200 (36ms, -950B)
[2026-09-21T19:52:22.242Z] GET file:///C:/www/sysmicon/prototipo-web/legado-data.js → 200 (3ms, 994492B)
[2026-09-21T19:52:22.242Z] GET file:///C:/www/sysmicon/prototipo-web/escena.js → 200 (4ms, 21808B)
[2026-09-21T19:52:22.257Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q1w.woff2 → 200 (2ms, -815B)
[2026-09-21T19:52:22.257Z] GET https://fonts.gstatic.com/s/figtree/v9/_Xms-HUzqDCFdgfMm4S9DQ.woff2 → 200 (3ms, -815B)
[2026-09-21T19:52:22.257Z] GET https://fonts.gstatic.com/s/instrumentsans/v4/pxiTypc9vsFDm051Uf6KVwgkfoSxQ0GsQv8ToedPibnr0SZe1Q.woff2 → 200 (3ms, -815B)
[2026-09-21T19:52:22.257Z] GET https://fonts.gstatic.com/s/instrumentserif/v5/jizHRFtNs2ka5fXjeivQ4LroWlx-6zAjjH7M.woff2 → 200 (3ms, -815B)
[2026-09-21T19:52:22.257Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgg.woff2 → 200 (4ms, -815B)
[2026-09-21T19:52:34.405Z] GET file:///C:/www/sysmicon/prototipo-web/index.html?v=4300 → 200 (1ms, 26004B)
